index,wavelength,median_filtered_y,lorentz_fit_y,residual
382,511.530000,1212.000000,1204.921090,7.078910
383,511.565000,1212.000000,1204.944953,7.055047
384,511.600000,1209.000000,1204.969318,4.030682
385,511.635000,1209.000000,1204.994199,4.005801
386,511.669000,1209.000000,1205.019609,3.980391
387,511.704000,1209.000000,1205.045564,3.954436
388,511.739000,1213.000000,1205.072080,7.927920
389,511.773000,1213.000000,1205.099173,7.900827
390,511.808000,1206.000000,1205.126859,0.873141
391,511.843000,1203.000000,1205.155156,-2.155156
392,511.877000,1206.000000,1205.184082,0.815918
393,511.912000,1206.000000,1205.213656,0.786344
394,511.947000,1203.000000,1205.243896,-2.243896
395,511.982000,1209.000000,1205.274823,3.725177
396,512.016000,1216.000000,1205.306459,10.693541
397,512.051000,1209.000000,1205.338823,3.661177
398,512.086000,1206.000000,1205.371939,0.628061
399,512.120000,1216.000000,1205.405830,10.594170
400,512.155000,1206.000000,1205.440521,0.559479
401,512.190000,1202.000000,1205.476036,-3.476036
402,512.224000,1202.000000,1205.512402,-3.512402
403,512.259000,1209.000000,1205.549645,3.450355
404,512.294000,1202.000000,1205.587794,-3.587794
405,512.328000,1203.000000,1205.626879,-2.626879
406,512.363000,1205.000000,1205.666930,-0.666930
407,512.398000,1205.000000,1205.707978,-0.707978
408,512.432000,1205.000000,1205.750058,-0.750058
409,512.467000,1207.000000,1205.793203,1.206797
410,512.502000,1210.000000,1205.837449,4.162551
411,512.537000,1211.000000,1205.882834,5.117166
412,512.571000,1213.000000,1205.929397,7.070603
413,512.606000,1219.000000,1205.977179,13.022821
414,512.641000,1219.000000,1206.026223,12.973777
415,512.675000,1219.000000,1206.076571,12.923429
416,512.710000,1219.000000,1206.128272,12.871728
417,512.745000,1205.000000,1206.181373,-1.181373
418,512.779000,1202.000000,1206.235925,-4.235925
419,512.814000,1205.000000,1206.291980,-1.291980
420,512.849000,1202.000000,1206.349594,-4.349594
421,512.883000,1205.000000,1206.408824,-1.408824
422,512.918000,1209.000000,1206.469732,2.530268
423,512.953000,1209.000000,1206.532379,2.467621
424,512.987000,1209.000000,1206.596832,2.403168
425,513.022000,1210.000000,1206.663161,3.336839
426,513.057000,1220.000000,1206.731438,13.268562
427,513.091000,1210.000000,1206.801739,3.198261
428,513.126000,1210.000000,1206.874144,3.125856
429,513.161000,1210.000000,1206.948737,3.051263
430,513.195000,1207.000000,1207.025605,-0.025605
431,513.230000,1196.000000,1207.104842,-11.104842
432,513.265000,1207.000000,1207.186543,-0.186543
433,513.299000,1204.000000,1207.270811,-3.270811
434,513.334000,1204.000000,1207.357752,-3.357752
435,513.369000,1204.000000,1207.447481,-3.447481
436,513.403000,1204.000000,1207.540114,-3.540114
437,513.438000,1203.000000,1207.635777,-4.635777
438,513.473000,1203.000000,1207.734602,-4.734602
439,513.507000,1201.000000,1207.836726,-6.836726
440,513.542000,1203.000000,1207.942298,-4.942298
441,513.577000,1208.000000,1208.051469,-0.051469
442,513.611000,1211.000000,1208.164404,2.835596
443,513.646000,1208.000000,1208.281274,-0.281274
444,513.681000,1208.000000,1208.402261,-0.402261
445,513.715000,1209.000000,1208.527556,0.472444
446,513.750000,1209.000000,1208.657364,0.342636
447,513.784000,1200.000000,1208.791898,-8.791898
448,513.819000,1209.000000,1208.931388,0.068612
449,513.854000,1213.000000,1209.076073,3.923927
450,513.888000,1215.000000,1209.226209,5.773791
451,513.923000,1215.000000,1209.382069,5.617931
452,513.958000,1217.000000,1209.543939,7.456061
453,513.992000,1217.000000,1209.712127,7.287873
454,514.027000,1217.000000,1209.886956,7.113044
455,514.062000,1213.000000,1210.068772,2.931228
456,514.096000,1217.000000,1210.257944,6.742056
457,514.131000,1219.000000,1210.454863,8.545137
458,514.166000,1219.000000,1210.659946,8.340054
459,514.200000,1219.000000,1210.873638,8.126362
460,514.235000,1219.000000,1211.096413,7.903587
461,514.269000,1213.000000,1211.328779,1.671221
462,514.304000,1213.000000,1211.571276,1.428724
463,514.339000,1221.000000,1211.824483,9.175517
464,514.373000,1224.000000,1212.089020,11.910980
465,514.408000,1224.000000,1212.365547,11.634453
466,514.443000,1224.000000,1212.654775,11.345225
467,514.477000,1215.000000,1212.957465,2.042535
468,514.512000,1215.000000,1213.274433,1.725567
469,514.547000,1211.000000,1213.606553,-2.606553
470,514.581000,1211.000000,1213.954767,-2.954767
471,514.616000,1211.000000,1214.320086,-3.320086
472,514.650000,1217.000000,1214.703597,2.296403
473,514.685000,1209.000000,1215.106471,-6.106471
474,514.720000,1213.000000,1215.529967,-2.529967
475,514.754000,1213.000000,1215.975444,-2.975444
476,514.789000,1217.000000,1216.444365,0.555635
477,514.824000,1217.000000,1216.938311,0.061689
478,514.858000,1222.000000,1217.458986,4.541014
479,514.893000,1222.000000,1218.008233,3.991767
480,514.927000,1221.000000,1218.588039,2.411961
481,514.962000,1221.000000,1219.200556,1.799444
482,514.997000,1221.000000,1219.848107,1.151893
483,515.031000,1220.000000,1220.533205,-0.533205
484,515.066000,1220.000000,1221.258570,-1.258570
485,515.101000,1219.000000,1222.027140,-3.027140
486,515.135000,1220.000000,1222.842094,-2.842094
487,515.170000,1220.000000,1223.706865,-3.706865
488,515.204000,1218.000000,1224.625167,-6.625167
489,515.239000,1222.000000,1225.601004,-3.601004
490,515.274000,1230.000000,1226.638695,3.361305
491,515.308000,1230.000000,1227.742891,2.257109
492,515.343000,1218.000000,1228.918590,-10.918590
493,515.377000,1223.000000,1230.171150,-7.171150
494,515.412000,1223.000000,1231.506300,-8.506300
495,515.447000,1223.000000,1232.930137,-9.930137
496,515.481000,1226.000000,1234.449124,-8.449124
497,515.516000,1226.000000,1236.070069,-10.070069
498,515.550000,1226.000000,1237.800084,-11.800084
499,515.585000,1226.000000,1239.646531,-13.646531
500,515.620000,1227.000000,1241.616932,-14.616932
501,515.654000,1222.000000,1243.718836,-21.718836
502,515.689000,1229.000000,1245.959655,-16.959655
503,515.724000,1230.000000,1248.346422,-18.346422
504,515.758000,1232.000000,1250.885484,-18.885484
505,515.793000,1234.000000,1253.582111,-19.582111
506,515.827000,1248.000000,1256.439993,-8.439993
507,515.862000,1252.000000,1259.460622,-7.460622
508,515.897000,1252.000000,1262.642549,-10.642549
509,515.931000,1251.000000,1265.980503,-14.980503
510,515.966000,1265.000000,1269.464383,-4.464383
511,516.000000,1265.000000,1273.078155,-8.078155
512,516.035000,1285.000000,1276.798690,8.201310
513,516.069000,1290.000000,1280.594648,9.405352
514,516.104000,1291.000000,1284.425515,6.574485
515,516.139000,1308.000000,1288.240967,19.759033
516,516.173000,1310.000000,1291.980765,18.019235
517,516.208000,1308.000000,1295.575401,12.424599
518,516.242000,1314.000000,1298.947694,15.052306
519,516.277000,1314.000000,1302.015479,11.984521
520,516.312000,1314.000000,1304.695402,9.304598
521,516.346000,1312.000000,1306.907648,5.092352
522,516.381000,1312.000000,1308.581241,3.418759
523,516.415000,1306.000000,1309.659339,-3.659339
524,516.450000,1305.000000,1310.103863,-5.103863
525,516.485000,1305.000000,1309.898774,-4.898774
526,516.519000,1306.000000,1309.051496,-3.051496
527,516.554000,1308.000000,1307.592256,0.407744
528,516.588000,1308.000000,1305.571443,2.428557
529,516.623000,1308.000000,1303.055405,4.944595
530,516.657000,1305.000000,1300.121323,4.878677
531,516.692000,1301.000000,1296.851833,4.148167
532,516.727000,1300.000000,1293.330038,6.669962
533,516.761000,1288.000000,1289.635334,-1.635334
534,516.796000,1280.000000,1285.840307,-5.840307
535,516.830000,1275.000000,1282.008743,-7.008743
536,516.865000,1259.000000,1278.194652,-19.194652
537,516.899000,1258.000000,1274.442124,-16.442124
538,516.934000,1255.000000,1270.785790,-15.785790
539,516.969000,1255.000000,1267.251689,-12.251689
540,517.003000,1245.000000,1263.858340,-18.858340
541,517.038000,1242.000000,1260.617905,-18.617905
542,517.072000,1241.000000,1257.537316,-16.537316
543,517.107000,1242.000000,1254.619326,-12.619326
544,517.141000,1245.000000,1251.863435,-6.863435
545,517.176000,1243.000000,1249.266686,-6.266686
546,517.211000,1251.000000,1246.824330,4.175670
547,517.245000,1251.000000,1244.530367,6.469633
548,517.280000,1246.000000,1242.377975,3.622025
549,517.314000,1243.000000,1240.359853,2.640147
550,517.349000,1238.000000,1238.468480,-0.468480
551,517.383000,1238.000000,1236.696305,1.303695
552,517.418000,1246.000000,1235.035897,10.964103
553,517.453000,1247.000000,1233.480041,13.519959
554,517.487000,1247.000000,1232.021813,14.978187
555,517.522000,1250.000000,1230.654619,19.345381
556,517.556000,1250.000000,1229.372225,20.627775
557,517.591000,1228.000000,1228.168765,-0.168765
558,517.625000,1228.000000,1227.038746,0.961254
559,517.660000,1227.000000,1225.977038,1.022962
